bathrooms,bedrooms,num_beds,can_instant_book,is_fully_refundable,is_superhost,is_new_listing,room_type_category,person_capacity,lat,lng,price,url,listing_key,price_in_usd
1.0,1.0,1,True,True,False,False,private_room,2,21.14958,-86.82579,26,https://www.airbnb.com/rooms/27197707,27197707,19.548872180451127
1.0,2.0,2,True,True,False,True,entire_home,4,21.13578,-86.84405,28,https://www.airbnb.com/rooms/35518285,35518285,21.052631578947366
1.0,1.0,2,True,True,False,False,private_room,3,21.164444,-86.822456,24,https://www.airbnb.com/rooms/28617563,28617563,18.045112781954888
1.0,1.0,1,True,True,True,False,private_room,2,21.15694,-86.8373,24,https://www.airbnb.com/rooms/32017225,32017225,18.045112781954888
1.0,1.0,1,True,True,False,False,entire_home,2,21.13546,-86.8351,26,https://www.airbnb.com/rooms/27990738,27990738,19.548872180451127
1.0,1.0,1,True,True,False,False,private_room,2,21.150671,-86.826988,24,https://www.airbnb.com/rooms/20285150,20285150,18.045112781954888
1.0,1.0,2,True,True,True,False,entire_home,3,21.15447,-86.85734000000002,24,https://www.airbnb.com/rooms/28028476,28028476,18.045112781954888
8.0,8.0,1,True,True,False,False,private_room,16,21.12572,-86.92324,21,https://www.airbnb.com/rooms/25052793,25052793,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.174133,-86.83669300000003,22,https://www.airbnb.com/rooms/17184878,17184878,16.541353383458645
1.0,1.0,2,False,True,True,False,private_room,2,21.15836,-86.82976,25,https://www.airbnb.com/rooms/5958858,5958858,18.796992481203006
1.0,1.0,1,False,True,True,False,private_room,2,21.16215,-86.86095999999998,21,https://www.airbnb.com/rooms/15819074,15819074,15.789473684210526
1.0,1.0,2,True,True,True,False,private_room,3,21.15753,-86.83041,25,https://www.airbnb.com/rooms/30552364,30552364,18.796992481203006
1.0,1.0,1,True,True,False,False,private_room,2,21.14891,-86.82844,26,https://www.airbnb.com/rooms/33974546,33974546,19.548872180451127
