bathrooms,bedrooms,num_beds,can_instant_book,price,listing_id
1,2,2,TRUE,41,28223116
2,2,3,TRUE,38,17142469
1,1,5,FALSE,38,22920237
1,2,3,TRUE,33,27735617
1,1,1,TRUE,33,29634117
1,1,3,FALSE,37,28489459
1,1,0,TRUE,34,31693203
1,1,2,TRUE,34,22848520
1,1,1,TRUE,34,30070155
1,1,3,TRUE,38,19505724
1,2,1,TRUE,33,18422503
1,2,2,FALSE,38,11184446
1.5,2,2,TRUE,41,19766895
1.5,1,1,TRUE,38,27467275
2,2,2,TRUE,34,24730699
1,0,1,TRUE,41,23913909
1,1,1,FALSE,34,7384192
1,1,1,TRUE,33,22020137
1,1,0,TRUE,32,20216084
1,1,1,TRUE,34,24555897
2,2,2,TRUE,34,22684527
1.5,2,2,TRUE,38,24718337
1,2,4,TRUE,38,24379110
1,2,3,TRUE,36,35877101
1,3,4,TRUE,41,20190358
1,2,3,TRUE,38,23590828
1,2,3,TRUE,38,19784266
1,1,2,TRUE,33,31361607
1,2,3,TRUE,33,21643861
1,1,1,TRUE,40,29822339
1.5,1,3,TRUE,37,18685140
1,1,2,TRUE,34,24964380
1,1,1,TRUE,34,32157396
1,1,1,TRUE,33,33344001
1,1,1,TRUE,41,29759040
1,1,2,TRUE,34,24428330
1,1,1,TRUE,37,33096988
1,2,3,TRUE,33,11316905
1,1,2,TRUE,34,21244350
1.5,2,2,TRUE,36,34144824
1,1,1,TRUE,33,23644828
1,1,2,TRUE,34,25785261
1,1,2,FALSE,32,31046023
1,3,3,TRUE,36,29685108
1,1,2,TRUE,33,26534948
1,1,1,TRUE,32,25846890
3,2,3,TRUE,34,34146645
1,1,1,TRUE,36,32791437
1,2,3,TRUE,33,21893383
1,2,4,TRUE,34,24696528
1,1,1,FALSE,34,25842022
1,1,3,TRUE,38,19152891
1,1,1,TRUE,34,25165099
1,1,1,TRUE,34,32790555
1,2,2,FALSE,41,18316814
2,4,7,TRUE,40,141313
1,1,2,TRUE,34,22041978
1,10,1,TRUE,40,32548993
1,1,1,TRUE,36,27875459
1,2,1,TRUE,36,28056389
1,1,1,FALSE,32,31045928
1,1,1,FALSE,34,34507415
1,1,1,TRUE,38,22165798
1,1,2,FALSE,40,10526787
1.5,1,2,TRUE,40,18689340
1,1,1,TRUE,40,4842750
1,2,2,TRUE,34,25191780
1,1,2,TRUE,41,35041237
1,1,1,TRUE,36,32791682
1,1,1,TRUE,40,13958517
3.5,3,5,TRUE,36,18142837
2,2,3,TRUE,33,16145564
1,1,1,TRUE,34,21647041
1,1,1,FALSE,40,18159151
1,1,1,FALSE,41,21848603
1,0,1,FALSE,36,31075073
1,1,2,TRUE,40,2676130
1,1,1,TRUE,33,29212734
1,0,1,TRUE,34,23870572
